National Park,State,Type,default_color
Abraham Lincoln Birthplace National Historical Park,Kentucky,National Historical Park,#339966
Acadia National Park,Maine,National Park,#003366
Adams National Historical Park,Massachusetts,National Historical Park,#003366
African Burial Ground National Monument,New York,National Monument,#003366
Agate Fossil Beds National Monument,Nebraska,National Monument,#FF9933
Alagnak Wild River,Alaska,Site,#9966CC
Alibates Flint Quarries National Monument,Texas,National Monument,#009999
Allegheny Portage Railroad National Historic Site,Pennsylvania,National Historic Site,#0066CC
Amache National Historic Site,Colorado,National Historic Site,#996633
Amistad National Recreation Area,Texas,National Recreation Area,#009999
Andersonville National Historic Site,Georgia,National Historic Site,#339966
Andrew Johnson National Historic Site,Tennessee,National Historic Site,#339966
Aniakchak National Monument,Alaska,National Monument,#9966CC
Aniakchak National Preserve,Alaska,National Preserve,#9966CC
Antietam National Battlefield,Maryland,National Battlefield,#0066CC
Apostle Islands National Lakeshore,Wisconsin,National Lakeshore,#FF9933
Appalachian National Scenic Trail,Maine to Georgia,National Scenic Trail,#000000
Appomattox Court House National Historical Park,Virginia,National Historical Park,#0066CC
Arches National Park,Utah,National Park,#996633
Arkansas Post National Memorial,Arkansas,National Memorial,#000000
Arlington House The Robert E. Lee Memorial,Virginia,Site,#0066CC
Assateague Island National Seashore,Maryland,National Seashore,#0066CC
Aztec Ruins National Monument,New Mexico,National Monument,#009999
Badlands National Park,South Dakota,National Park,#FF9933
Bandelier National Monument,New Mexico,National Monument,#009999
Belmont-Paul Womens Equality National Monument,District of Columbia,National Monument,#66CCFF
Bents Old Fort National Historic Site,Colorado,National Historic Site,#996633
Bering Land Bridge National Preserve,Alaska,National Preserve,#9966CC
Big Bend National Park,Texas,National Park,#009999
Big Cypress National Preserve,Florida,National Preserve,#339966
Big Hole National Battlefield,Montana,National Battlefield,#996633
Big South Fork National River and Recreation Area,Tennessee,National River,#339966
Big Thicket National Preserve,Texas,National Preserve,#009999
Bighorn Canyon National Recreation Area,Montana,National Recreation Area,#996633
Birmingham Civil Rights National Monument,Alabama,National Monument,#339966
Biscayne National Park,Florida,National Park,#339966
Black Canyon of the Gunnison National Park,Colorado,National Park,#996633
Blackstone River Valley National Historical Park,Rhode Island,National Historical Park,#003366
Blackwell School National Historic Site,Texas,National Historic Site,#009999
Blue Ridge Parkway,North Carolina,Site,#339966
Bluestone National Scenic River,West Virginia,National Scenic River,#0066CC
Booker T. Washington National Monument,Virginia,National Monument,#0066CC
Boston African American National Historic Site,Massachusetts,National Historic Site,#003366
Boston Harbor Islands National Recreation Area,Massachusetts,National Recreation Area,#003366
Boston National Historical Park,Massachusetts,National Historical Park,#003366
Brices Cross Roads National Battlefield Site,Mississippi,National Battlefield Site,#339966
Brown v. Board of Education National Historical Park,Kansas,National Historical Park,#FF9933
Bryce Canyon National Park,Utah,National Park,#996633
Buck Island Reef National Monument,Virgin Islands,National Monument,#000000
Buffalo National River,Arkansas,National River,#000000
Cabrillo National Monument,California,National Monument,#CC3333
Camp Nelson National Monument,Kentucky,National Monument,#339966
Canaveral National Seashore,Florida,National Seashore,#339966
Cane River Creole National Historical Park,Louisiana,National Historical Park,#000000
Canyon De Chelly National Monument,Arizona,National Monument,#009999
Canyonlands National Park,Utah,National Park,#996633
Cape Cod National Seashore,Massachusetts,National Seashore,#003366
Cape Hatteras National Seashore,North Carolina,National Seashore,#339966
Cape Krusenstern National Monument,Alaska,National Monument,#9966CC
Cape Lookout National Seashore,North Carolina,National Seashore,#339966
Capitol Reef National Park,Utah,National Park,#996633
Capulin Volcano National Monument,New Mexico,National Monument,#009999
Carl Sandburg Home National Historic Site,North Carolina,National Historic Site,#339966
Carlisle Federal Indian Boarding School National Monument,Pennsylvania,National Monument,#0066CC
Carlsbad Caverns National Park,New Mexico,National Park,#009999
Carter G. Woodson Home National Historic Site,District of Columbia,National Historic Site,#66CCFF
Casa Grande Ruins National Monument,Arizona,National Monument,#009999
Castillo de San Marcos National Monument,Florida,National Monument,#339966
Castle Clinton National Monument,New York,National Monument,#003366
Castle Mountains National Monument,California,National Monument,#CC3333
Catoctin Mountain Park,Maryland,Site,#0066CC
Cedar Breaks National Monument,Utah,National Monument,#996633
Cedar Creek and Belle Grove National Historical Park,Virginia,National Historical Park,#0066CC
Chaco Culture National Historical Park,New Mexico,National Historical Park,#009999
