"Natural_Landmark","State"
"Beaverdam Creek Swamp","Alabama"
"Cathedral Caverns","Alabama"
"Dismals Canyon","Alabama"
"Mobile Tensaw River Bottom Lands","Alabama"
"Newsome Sinks Karst Area","Alabama"
"Red Mountain Expressway Cut","Alabama"
"Shelta Cave","Alabama"
"Cape Taputapu","American Samoa"
"Fogamaʻa Crater","American Samoa"
"Matafao Peak","American Samoa"
"Leʻala Shoreline","American Samoa"
"Rainmaker Mountain(Mount Pioa)","American Samoa"
"Vai'ava Strait","American Samoa"
"Aunu'u Island","American Samoa"
"Amboy Crater","California"
"American River Bluffs and Phoenix Park Vernal Pools","California"
"Año Nuevo State Reserve","California"
"Anza-Borrego Desert","California"
"Audubon Canyon","California"
"Black Chasm Cave","California"
"Burney Falls","California"
"Cinder Cone Natural Area","California"
"Cosumnes River Riparian Woodlands","California"
"Deep Springs Marsh","California"
"Dixon Vernal Pools","California"
"Elder Creek","California"
"Emerald Bay","California"
"Eureka Dunes","California"
"Fish Slough Area of Critical Environmental Concern","California"
"Guadalupe-Nipomo Dunes","California"
"Imperial Sand Hills","California"
"Irvine Ranch Natural Landmarks","California"
"Lake Shasta Caverns","California"
"Lanphere Dunes and Ma-le'l Dunes","California"
"Miramar Mounds","California"
"Mitchell Caverns and Winding Stair Cave","California"
"Mt. Diablo State Park","California"
"Mount Shasta","California"
"Pixley Vernal Pools","California"
"Point Lobos","California"
"Pygmy Forest at Jug Handle State Natural Reserve","California"
"Rainbow Basin","California"
"La Brea Tar Pits (Rancho La Brea)","California"
"San Andreas Fault","California"
"San Felipe Creek Area","California"
"Sand Ridge Wildflower Preserve","California"
"Sharktooth Hill","California"
"Tijuana River Estuary","California"
"Torrey Pines State Natural Reserve","California"
"Trona Pinnacles","California"
"Turtle Mountain","California"
"7","Delaware"
"16","Delaware"
"7","Delaware"
"10","Delaware"
"5","Delaware"
"37","Delaware"
"17","Delaware"
"8","Delaware"
"0","Delaware"
"18","Delaware"
"11","Delaware"
"4","Delaware"
"7","Delaware"
"11","Delaware"
"18","Delaware"
"30","Delaware"
"7","Delaware"
"5","Delaware"
"7","Delaware"
"0","Delaware"
"14","Delaware"
"6","Delaware"
"11","Delaware"
"12","Delaware"
"8","Delaware"
"5","Delaware"
"16","Delaware"
"10","Delaware"
"5","Delaware"
"6","Delaware"
"11","Delaware"
"11","Delaware"
"12","Delaware"
"29","Delaware"
"13","Delaware"
"4","Delaware"
"0","Delaware"
"23","Delaware"
"3","Delaware"
"11","Delaware"
"27","Delaware"
"5","Delaware"
"1","Delaware"
"6","Delaware"
"13","Delaware"
"13","Delaware"
"21","Delaware"
"4","Delaware"
"12","Delaware"
"7","Delaware"
"10","Delaware"
"18","Delaware"
"0","Delaware"
"16","Delaware"
"18","Delaware"
"6","Delaware"
"Facpi Point","Guam"
"Fouha Point","Guam"
"Mount Lamlam","Guam"
"Two Lovers Point (Puntan Dos Amåntes)","Guam"
"7","Louisiana"
"16","Louisiana"
"7","Louisiana"
"10","Louisiana"
"5","Louisiana"
"37","Louisiana"
"17","Louisiana"
